,Name,Date,Club,Minutes
0,Jay Nolly,8/13/2011,VAN,90
1,Jay Nolly,8/7/2011,VAN,90
2,Jay Nolly,6/29/2011,VAN,90
3,Jay Nolly,5/28/2011,VAN,90
4,Jay Nolly,5/14/2011,VAN,90
5,Jay Nolly,5/11/2011,VAN,90
6,Jay Nolly,5/7/2011,VAN,90
7,Jay Nolly,4/30/2011,VAN,90
8,Jay Nolly,4/23/2011,VAN,90
9,Jay Nolly,4/16/2011,VAN,90
10,Jay Nolly,4/10/2011,VAN,90
11,Jay Nolly,4/6/2011,VAN,90
12,Jay Nolly,4/2/2011,VAN,90
13,Jay Nolly,3/19/2011,VAN,90
14,Andrew Dykstra,6/11/2014,DC,90
15,Andrew Dykstra,4/19/2014,DC,90
16,Andrew Dykstra,4/12/2014,DC,90
17,Andrew Dykstra,4/5/2014,DC,90
18,Andrew Dykstra,10/16/2010,NULL,90
19,Andrew Dykstra,10/12/2010,NULL,90
20,Andrew Dykstra,10/8/2010,NULL,90
21,Andrew Dykstra,7/8/2010,NULL,90
22,Andrew Dykstra,7/3/2010,NULL,90
23,Andrew Dykstra,6/27/2010,NULL,90
24,Andrew Dykstra,6/9/2010,NULL,90
25,Andrew Dykstra,6/5/2010,NULL,90
26,Andrew Dykstra,5/27/2010,NULL,90
27,Andrew Dykstra,5/15/2010,NULL,90
28,Andrew Dykstra,5/8/2010,NULL,90
29,Andrew Dykstra,5/1/2010,NULL,90
30,Andrew Dykstra,4/24/2010,NULL,90
31,Andrew Dykstra,4/17/2010,NULL,90
32,Andrew Dykstra,4/10/2010,NULL,90
33,Andrew Dykstra,4/3/2010,NULL,90
34,Andrew Dykstra,3/27/2010,NULL,90
35,Tally Hall,8/29/2014,HOU,80
36,Tally Hall,8/23/2014,HOU,90
37,Tally Hall,8/15/2014,HOU,90
38,Tally Hall,8/10/2014,HOU,90
39,Tally Hall,8/3/2014,HOU,90
40,Tally Hall,7/19/2014,HOU,90
41,Tally Hall,7/12/2014,HOU,90
42,Tally Hall,7/4/2014,HOU,90
43,Tally Hall,6/29/2014,HOU,90
44,Tally Hall,6/1/2014,HOU,90
45,Tally Hall,5/25/2014,HOU,90
46,Tally Hall,5/21/2014,HOU,90
47,Tally Hall,5/17/2014,HOU,90
48,Tally Hall,5/11/2014,HOU,90
49,Tally Hall,5/7/2014,HOU,90
50,Tally Hall,5/3/2014,HOU,90
51,Tally Hall,4/27/2014,HOU,90
52,Tally Hall,4/23/2014,HOU,90
53,Tally Hall,4/19/2014,HOU,90
54,Tally Hall,4/12/2014,HOU,90
55,Tally Hall,4/5/2014,HOU,90
56,Tally Hall,3/29/2014,HOU,90
57,Tally Hall,3/15/2014,HOU,90
58,Tally Hall,3/8/2014,HOU,90
59,Tally Hall,10/27/2013,HOU,90
60,Tally Hall,10/20/2013,HOU,90
61,Tally Hall,10/9/2013,HOU,90
62,Tally Hall,10/4/2013,HOU,90
63,Tally Hall,9/28/2013,HOU,90
64,Tally Hall,9/21/2013,HOU,90
65,Tally Hall,9/14/2013,HOU,90
66,Tally Hall,9/8/2013,HOU,90
67,Tally Hall,9/4/2013,HOU,90
68,Tally Hall,9/1/2013,HOU,90
69,Tally Hall,8/24/2013,HOU,90
70,Tally Hall,8/17/2013,HOU,90
71,Tally Hall,8/10/2013,HOU,90
72,Tally Hall,8/3/2013,HOU,90
73,Tally Hall,7/27/2013,HOU,90
74,Tally Hall,7/13/2013,HOU,90
75,Tally Hall,7/6/2013,HOU,90
76,Tally Hall,6/30/2013,HOU,90
77,Tally Hall,6/22/2013,HOU,90
78,Tally Hall,6/19/2013,HOU,90
79,Tally Hall,6/1/2013,HOU,90
80,Tally Hall,5/26/2013,HOU,90
81,Tally Hall,5/18/2013,HOU,90
82,Tally Hall,5/12/2013,HOU,90
83,Tally Hall,5/8/2013,HOU,90
84,Tally Hall,5/5/2013,HOU,90
85,Tally Hall,4/28/2013,HOU,90
86,Tally Hall,4/20/2013,HOU,90
87,Tally Hall,4/14/2013,HOU,90
88,Tally Hall,4/6/2013,HOU,90
89,Tally Hall,3/30/2013,HOU,90
90,Tally Hall,3/23/2013,HOU,90
91,Tally Hall,3/17/2013,HOU,90
92,Tally Hall,3/2/2013,HOU,90
93,Tally Hall,10/20/2012,HOU,90
94,Tally Hall,10/6/2012,HOU,90
95,Tally Hall,9/29/2012,HOU,90
96,Tally Hall,9/23/2012,HOU,90
97,Tally Hall,9/14/2012,HOU,90
98,Tally Hall,9/6/2012,HOU,90
99,Tally Hall,9/2/2012,HOU,90
100,Tally Hall,8/25/2012,HOU,90
101,Tally Hall,8/19/2012,HOU,90
102,Tally Hall,8/10/2012,HOU,90
103,Tally Hall,8/3/2012,HOU,90
104,Tally Hall,7/28/2012,HOU,90
105,Tally Hall,7/21/2012,HOU,90
106,Tally Hall,7/18/2012,HOU,90
107,Tally Hall,7/15/2012,HOU,90
108,Tally Hall,7/7/2012,HOU,90
109,Tally Hall,7/3/2012,HOU,90
110,Tally Hall,6/30/2012,HOU,90
111,Tally Hall,6/23/2012,HOU,90
112,Tally Hall,6/20/2012,HOU,90
113,Tally Hall,6/16/2012,HOU,90
114,Tally Hall,6/10/2012,HOU,90
115,Tally Hall,5/26/2012,HOU,90
116,Tally Hall,5/19/2012,HOU,90
117,Tally Hall,5/15/2012,HOU,90
118,Tally Hall,5/12/2012,HOU,90
119,Tally Hall,5/9/2012,HOU,90
120,Tally Hall,4/28/2012,HOU,90
121,Tally Hall,4/21/2012,HOU,90
122,Tally Hall,4/15/2012,HOU,66
123,Tally Hall,3/23/2012,HOU,90
124,Tally Hall,3/17/2012,HOU,90
125,Tally Hall,3/11/2012,HOU,90
126,Tally Hall,10/23/2011,HOU,90
127,Tally Hall,10/14/2011,HOU,90
128,Tally Hall,10/1/2011,HOU,90
129,Tally Hall,9/24/2011,HOU,90
130,Tally Hall,9/17/2011,HOU,90
131,Tally Hall,9/14/2011,HOU,90
132,Tally Hall,9/10/2011,HOU,90
133,Tally Hall,8/27/2011,HOU,90
134,Tally Hall,8/20/2011,HOU,90
135,Tally Hall,8/17/2011,HOU,90
136,Tally Hall,8/14/2011,HOU,90
137,Tally Hall,8/6/2011,HOU,90
138,Tally Hall,7/30/2011,HOU,90
139,Tally Hall,7/23/2011,HOU,90
140,Tally Hall,7/16/2011,HOU,90
141,Tally Hall,7/9/2011,HOU,90
142,Tally Hall,7/3/2011,HOU,90
143,Tally Hall,6/25/2011,HOU,90
144,Tally Hall,6/18/2011,HOU,90
145,Tally Hall,6/11/2011,HOU,90
146,Tally Hall,6/4/2011,HOU,90
147,Tally Hall,5/28/2011,HOU,90
148,Tally Hall,5/25/2011,HOU,90
149,Tally Hall,5/21/2011,HOU,90
150,Tally Hall,5/14/2011,HOU,90
151,Tally Hall,5/7/2011,HOU,90
152,Tally Hall,5/4/2011,HOU,90
153,Tally Hall,4/29/2011,HOU,90
154,Tally Hall,4/23/2011,HOU,90
155,Tally Hall,4/17/2011,HOU,90
156,Tally Hall,4/10/2011,HOU,90
157,Tally Hall,4/2/2011,HOU,90
158,Tally Hall,3/25/2011,HOU,90
159,Tally Hall,3/19/2011,HOU,90
