,Player,Year,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
0,Mark Dodd,1996,DAL,GK,31,31,2776,235,160,45,1.46,5/5,17,14,0,6,55,68
1,Tony Meola,1996,MET,GK,29,29,2610,188,142,38,1.31,3/4,14,15,0,9,48,76
2,Mark Dougherty,1996,TB,GK,28,28,2520,186,123,47,1.68,9/10,17,11,0,3,61,66
3,Jorge Campos,1996,LA,GK,24,24,2025,133,100,27,1.2,0/1,13,8,0,4,54,75
4,Chris Woods,1996,COL,GK,23,23,2070,149,96,43,1.87,2/2,8,15,0,2,35,64
5,Garth Lagerwey,1996,KC,GK,23,22,1959,133,83,38,1.75,2/2,12,10,0,3,52,62
6,Tom Liner,1996,SJ,GK,20,20,1712,118,75,33,1.73,1/2,7,12,0,4,35,64
7,Aidan Heaney,1996,NE,GK,19,18,1534,130,93,29,1.7,2/2,8,9,0,4,42,72
8,Jeff Causey,1996,DC,GK,19,18,1620,115,70,35,1.94,7/8,9,10,0,0,47,61
9,Jim St. Andre,1996,NE,GK,15,14,1346,91,57,27,1.81,0/0,7,8,0,2,47,63
10,Mark Simpson,1996,DC,GK,15,14,1260,69,46,21,1.5,0/0,7,6,0,3,47,67
11,Bo Oshoniyi,1996,CLB,GK,13,13,1170,101,64,33,2.54,2/3,3,10,0,2,23,63
12,Dave Salzwedel,1996,SJ,GK,14,12,1168,80,53,17,1.31,2/2,8,5,0,4,57,66
13,Pat Harrington,1996,CLB,GK,12,11,924,57,23,21,2.05,0/0,5,5,0,1,42,40
14,Brad Friedel,1996,CLB,GK,9,9,810,60,46,7,0.78,0/0,8,1,0,4,89,77
15,Dusty Hudock,1996,COL,GK,9,9,810,55,34,16,1.78,2/2,3,6,0,2,33,62
16,David Kramer,1996,LA,GK,15,8,855,83,52,22,2.32,4/4,6,5,0,1,40,63
17,David Winner,1996,CLB,GK,7,6,606,39,22,16,2.38,2/2,3,4,0,0,43,56
18,Scott Budnick,1996,TB,GK,4,4,360,23,18,4,1.0,0/0,3,1,0,1,75,78
19,Mike Ammann,1996,KC,GK,4,3,291,21,12,8,2.47,0/1,1,2,0,0,25,57
20,Zach Thornton,1996,MET,GK,3,3,270,17,8,9,3.0,1/1,1,2,0,0,33,47
21,Jeff Cassar,1996,DAL,GK,2,1,104,9,6,3,2.6,0/0,0,1,0,0,0,67
22,Mile Miovac,1996,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
23,Mark Dodd,1997,DAL,GK,30,30,2700,249,183,48,1.6,6/9,14,16,0,3,47,73
24,Tony Meola,1997,MET,GK,30,30,2683,204,149,48,1.61,4/6,12,18,0,5,40,73
25,Brad Friedel,1997,CLB,GK,29,29,2609,174,131,35,1.21,4/5,14,15,0,7,48,75
26,Mike Ammann,1997,KC,GK,29,29,2597,160,109,45,1.56,3/4,21,8,0,5,72,68
