,Name,Date,Club,Minutes
1,Thierry Henry,10/19/2014,NY,90
2,Thierry Henry,10/11/2014,NY,90
3,Thierry Henry,10/4/2014,NY,89
4,Thierry Henry,9/28/2014,NY,90
5,Thierry Henry,9/20/2014,NY,89
6,Thierry Henry,9/13/2014,NY,55
7,Thierry Henry,9/10/2014,NY,89
8,Thierry Henry,9/6/2014,NY,89
9,Thierry Henry,8/31/2014,NY,90
10,Thierry Henry,8/23/2014,NY,83
11,Thierry Henry,8/10/2014,NY,90
12,Thierry Henry,8/2/2014,NY,90
13,Thierry Henry,7/30/2014,NY,89
14,Thierry Henry,7/19/2014,NY,90
15,Thierry Henry,7/16/2014,NY,90
16,Thierry Henry,7/12/2014,NY,89
17,Thierry Henry,7/4/2014,NY,90
18,Thierry Henry,6/27/2014,NY,90
20,Thierry Henry,5/27/2014,NY,90
21,Thierry Henry,5/24/2014,NY,90
22,Thierry Henry,5/17/2014,NY,90
23,Thierry Henry,5/10/2014,NY,90
24,Thierry Henry,5/4/2014,NY,90
25,Thierry Henry,4/26/2014,NY,90
26,Thierry Henry,4/23/2014,NY,90
27,Thierry Henry,4/16/2014,NY,89
28,Thierry Henry,4/12/2014,NY,90
30,Thierry Henry,3/30/2014,NY,90
31,Thierry Henry,3/23/2014,NY,90
32,Thierry Henry,3/15/2014,NY,90
34,Thierry Henry,10/27/2013,NY,89
35,Thierry Henry,10/20/2013,NY,90
36,Thierry Henry,10/5/2013,NY,90
38,Thierry Henry,9/22/2013,NY,90
39,Thierry Henry,9/14/2013,NY,90
40,Thierry Henry,9/8/2013,NY,90
41,Thierry Henry,8/31/2013,NY,32
42,Thierry Henry,8/25/2013,NY,90
43,Thierry Henry,8/17/2013,NY,90
45,Thierry Henry,8/3/2013,NY,90
46,Thierry Henry,7/27/2013,NY,90
47,Thierry Henry,7/20/2013,NY,90
48,Thierry Henry,7/13/2013,NY,90
49,Thierry Henry,7/4/2013,NY,90
50,Thierry Henry,6/30/2013,NY,90
51,Thierry Henry,6/23/2013,NY,90
52,Thierry Henry,6/1/2013,NY,90
53,Thierry Henry,5/26/2013,NY,90
54,Thierry Henry,5/19/2013,NY,90
56,Thierry Henry,5/8/2013,NY,89
57,Thierry Henry,5/4/2013,NY,90
58,Thierry Henry,4/27/2013,NY,90
59,Thierry Henry,4/20/2013,NY,90
60,Thierry Henry,4/17/2013,NY,90
61,Thierry Henry,4/13/2013,NY,90
62,Thierry Henry,4/7/2013,NY,29
63,Thierry Henry,3/30/2013,NY,31
65,Thierry Henry,3/16/2013,NY,89
66,Thierry Henry,3/10/2013,NY,90
67,Thierry Henry,3/3/2013,NY,90
68,Thierry Henry,10/27/2012,NY,90
69,Thierry Henry,10/20/2012,NY,90
70,Thierry Henry,10/6/2012,NY,90
71,Thierry Henry,9/29/2012,NY,90
73,Thierry Henry,9/19/2012,NY,90
74,Thierry Henry,9/15/2012,NY,90
75,Thierry Henry,8/29/2012,NY,90
77,Thierry Henry,8/19/2012,NY,90
78,Thierry Henry,8/10/2012,NY,90
79,Thierry Henry,8/3/2012,NY,90
80,Thierry Henry,7/28/2012,NY,90
81,Thierry Henry,7/21/2012,NY,90
82,Thierry Henry,7/18/2012,NY,82
83,Thierry Henry,7/15/2012,NY,90
85,Thierry Henry,6/30/2012,NY,90
86,Thierry Henry,6/24/2012,NY,21
89,Thierry Henry,5/23/2012,NY,90
94,Thierry Henry,4/28/2012,NY,25
95,Thierry Henry,4/22/2012,NY,90
96,Thierry Henry,4/14/2012,NY,90
97,Thierry Henry,4/7/2012,NY,90
98,Thierry Henry,3/31/2012,NY,90
99,Thierry Henry,3/25/2012,NY,90
100,Thierry Henry,3/17/2012,NY,90
101,Thierry Henry,3/11/2012,NY,90
103,Thierry Henry,10/15/2011,NY,28
104,Thierry Henry,10/4/2011,NY,90
105,Thierry Henry,10/1/2011,NY,90
106,Thierry Henry,9/24/2011,NY,90
107,Thierry Henry,9/21/2011,NY,90
109,Thierry Henry,9/10/2011,NY,90
111,Thierry Henry,8/13/2011,NY,90
112,Thierry Henry,8/6/2011,NY,90
113,Thierry Henry,7/23/2011,NY,90
114,Thierry Henry,7/20/2011,NY,90
115,Thierry Henry,7/16/2011,NY,90
116,Thierry Henry,7/9/2011,NY,90
117,Thierry Henry,7/6/2011,NY,90
119,Thierry Henry,6/26/2011,NY,90
121,Thierry Henry,6/19/2011,NY,90
122,Landon Donovan,10/25/2014,LA,90
123,Landon Donovan,10/19/2014,LA,90
125,Landon Donovan,10/4/2014,LA,84
127,Landon Donovan,9/20/2014,LA,90
128,Thierry Henry,5/7/2011,NY,90
129,Landon Donovan,9/10/2014,LA,90
130,Landon Donovan,9/5/2014,LA,90
131,Landon Donovan,8/31/2014,LA,82
132,Landon Donovan,8/27/2014,LA,86
133,Landon Donovan,8/23/2014,LA,90
135,Landon Donovan,8/16/2014,LA,90
138,Landon Donovan,7/28/2014,LA,90
139,Landon Donovan,7/19/2014,LA,90
141,Landon Donovan,7/12/2014,LA,90
142,Landon Donovan,7/4/2014,LA,90
