,Name,Date,Club,Minutes
0,Bryan Gaul,10/28/2012,LA,45
1,Bryan Gaul,10/6/2012,LA,90
2,Bryan Gaul,8/15/2012,LA,29
3,Bryan Gaul,8/12/2012,LA,11
4,Bryan Gaul,8/5/2012,LA,90
5,Bryan Gaul,7/28/2012,LA,90
6,Bryan Gaul,7/21/2012,LA,90
7,Bryan Gaul,7/18/2012,LA,59
8,Bryan Gaul,7/14/2012,LA,8
9,Bryan Gaul,7/8/2012,LA,17
10,Bryan Gaul,6/30/2012,LA,7
11,Bryan Gaul,5/26/2012,LA,84
12,Bryan Gaul,5/23/2012,LA,90
13,Bryan Gaul,5/2/2012,LA,90
14,Jay Nolly,8/13/2011,VAN,90
15,Jay Nolly,8/7/2011,VAN,90
16,Jay Nolly,6/29/2011,VAN,90
17,Jay Nolly,5/28/2011,VAN,90
18,Jay Nolly,5/14/2011,VAN,90
19,Jay Nolly,5/11/2011,VAN,90
20,Jay Nolly,5/7/2011,VAN,90
21,Jay Nolly,4/30/2011,VAN,90
22,Jay Nolly,4/23/2011,VAN,90
23,Jay Nolly,4/16/2011,VAN,90
24,Jay Nolly,4/10/2011,VAN,90
25,Jay Nolly,4/6/2011,VAN,90
26,Jay Nolly,4/2/2011,VAN,90
27,Jay Nolly,3/19/2011,VAN,90
28,Oriol Rosell,5/14/2014,KC,90
29,Oriol Rosell,5/10/2014,KC,90
30,Oriol Rosell,5/4/2014,KC,90
31,Oriol Rosell,4/26/2014,KC,90
32,Oriol Rosell,4/5/2014,KC,83
33,Oriol Rosell,3/29/2014,KC,61
34,Oriol Rosell,3/15/2014,KC,90
35,Oriol Rosell,10/26/2013,KC,90
36,Oriol Rosell,10/18/2013,KC,90
37,Oriol Rosell,10/9/2013,KC,90
38,Oriol Rosell,9/27/2013,KC,90
39,Oriol Rosell,9/7/2013,KC,90
40,Oriol Rosell,8/31/2013,KC,90
41,Oriol Rosell,8/23/2013,KC,82
42,Oriol Rosell,8/18/2013,KC,90
43,Oriol Rosell,8/10/2013,KC,90
44,Oriol Rosell,8/3/2013,KC,90
45,Oriol Rosell,7/27/2013,KC,90
46,Oriol Rosell,7/20/2013,KC,90
47,Oriol Rosell,7/13/2013,KC,90
48,Oriol Rosell,7/7/2013,KC,90
49,Oriol Rosell,7/3/2013,KC,90
50,Oriol Rosell,6/29/2013,KC,90
51,Oriol Rosell,6/22/2013,KC,88
52,Oriol Rosell,6/1/2013,KC,90
53,Oriol Rosell,5/26/2013,KC,81
54,Oriol Rosell,5/12/2013,KC,61
55,Oriol Rosell,5/8/2013,KC,90
56,Oriol Rosell,5/5/2013,KC,90
57,Oriol Rosell,4/27/2013,KC,90
58,Oriol Rosell,4/20/2013,KC,45
59,Oriol Rosell,4/17/2013,KC,90
60,Oriol Rosell,4/5/2013,KC,85
61,Oriol Rosell,3/30/2013,KC,89
62,Oriol Rosell,3/23/2013,KC,90
63,Oriol Rosell,3/16/2013,KC,90
64,Oriol Rosell,3/9/2013,KC,90
65,Oriol Rosell,3/2/2013,KC,90
66,Oriol Rosell,10/24/2012,KC,24
67,Oriol Rosell,9/22/2012,KC,89
68,Oriol Rosell,9/19/2012,KC,1
69,Oriol Rosell,9/1/2012,KC,12
70,Oriol Rosell,8/11/2012,KC,1
71,Andrew Dykstra,6/11/2014,DC,90
72,Andrew Dykstra,4/19/2014,DC,90
73,Andrew Dykstra,4/12/2014,DC,90
74,Andrew Dykstra,4/5/2014,DC,90
75,Andrew Dykstra,10/16/2010,NULL,90
76,Andrew Dykstra,10/12/2010,NULL,90
77,Andrew Dykstra,10/8/2010,NULL,90
78,Andrew Dykstra,7/8/2010,NULL,90
79,Andrew Dykstra,7/3/2010,NULL,90
80,Andrew Dykstra,6/27/2010,NULL,90
81,Andrew Dykstra,6/9/2010,NULL,90
82,Andrew Dykstra,6/5/2010,NULL,90
83,Andrew Dykstra,5/27/2010,NULL,90
84,Andrew Dykstra,5/15/2010,NULL,90
85,Andrew Dykstra,5/8/2010,NULL,90
86,Andrew Dykstra,5/1/2010,NULL,90
87,Andrew Dykstra,4/24/2010,NULL,90
88,Andrew Dykstra,4/17/2010,NULL,90
89,Andrew Dykstra,4/10/2010,NULL,90
90,Andrew Dykstra,4/3/2010,NULL,90
91,Andrew Dykstra,3/27/2010,NULL,90
92,Drew Moor,8/17/2014,COL,14
93,Drew Moor,8/9/2014,COL,90
94,Drew Moor,8/2/2014,COL,90
95,Drew Moor,7/30/2014,COL,90
96,Drew Moor,7/25/2014,COL,90
97,Drew Moor,7/18/2014,COL,90
98,Drew Moor,7/12/2014,COL,90
99,Drew Moor,7/4/2014,COL,90
100,Drew Moor,6/28/2014,COL,90
101,Drew Moor,6/7/2014,COL,90
102,Drew Moor,6/4/2014,COL,90
103,Drew Moor,6/1/2014,COL,90
104,Drew Moor,5/24/2014,COL,90
105,Drew Moor,5/17/2014,COL,90
106,Drew Moor,5/7/2014,COL,90
107,Drew Moor,5/3/2014,COL,90
108,Drew Moor,4/26/2014,COL,90
109,Drew Moor,4/19/2014,COL,90
110,Drew Moor,4/12/2014,COL,90
111,Drew Moor,4/5/2014,COL,90
112,Drew Moor,3/29/2014,COL,90
113,Drew Moor,3/22/2014,COL,90
114,Drew Moor,3/15/2014,COL,90
115,Drew Moor,10/27/2013,COL,90
116,Drew Moor,10/19/2013,COL,90
117,Drew Moor,10/9/2013,COL,90
118,Drew Moor,10/5/2013,COL,90
119,Drew Moor,9/20/2013,COL,90
120,Drew Moor,9/14/2013,COL,90
121,Drew Moor,9/7/2013,COL,90
122,Drew Moor,8/31/2013,COL,90
123,Drew Moor,8/17/2013,COL,90
124,Drew Moor,8/11/2013,COL,90
125,Drew Moor,8/3/2013,COL,90
126,Drew Moor,7/27/2013,COL,90
127,Drew Moor,7/20/2013,COL,90
128,Drew Moor,7/17/2013,COL,90
129,Drew Moor,7/7/2013,COL,90
130,Drew Moor,7/4/2013,COL,90
131,Drew Moor,6/29/2013,COL,90
132,Drew Moor,6/23/2013,COL,90
133,Drew Moor,6/19/2013,COL,90
134,Drew Moor,6/15/2013,COL,90
135,Drew Moor,6/1/2013,COL,90
136,Drew Moor,5/25/2013,COL,90
137,Drew Moor,5/18/2013,COL,90
138,Drew Moor,5/11/2013,COL,90
139,Drew Moor,5/4/2013,COL,90
140,Drew Moor,4/28/2013,COL,90
141,Drew Moor,4/20/2013,COL,90
142,Drew Moor,4/13/2013,COL,45
143,Drew Moor,3/23/2013,COL,48
144,Drew Moor,3/16/2013,COL,90
145,Drew Moor,3/10/2013,COL,90
146,Drew Moor,3/2/2013,COL,90
147,Drew Moor,10/27/2012,COL,90
148,Drew Moor,10/20/2012,COL,90
149,Drew Moor,10/6/2012,COL,90
150,Drew Moor,9/30/2012,COL,90
151,Drew Moor,9/23/2012,COL,90
152,Drew Moor,9/14/2012,COL,90
153,Drew Moor,9/5/2012,COL,90
154,Drew Moor,8/31/2012,COL,90
155,Drew Moor,8/25/2012,COL,90
156,Drew Moor,8/18/2012,COL,90
157,Drew Moor,8/11/2012,COL,90
158,Drew Moor,8/4/2012,COL,90
159,Drew Moor,7/28/2012,COL,90
160,Drew Moor,7/21/2012,COL,90
161,Drew Moor,7/18/2012,COL,90
162,Drew Moor,7/14/2012,COL,90
163,Drew Moor,7/7/2012,COL,90
164,Drew Moor,7/4/2012,COL,90
165,Drew Moor,6/30/2012,COL,90
166,Drew Moor,6/20/2012,COL,90
167,Drew Moor,6/16/2012,COL,90
168,Drew Moor,5/26/2012,COL,90
169,Drew Moor,5/19/2012,COL,90
170,Drew Moor,5/16/2012,COL,90
171,Drew Moor,5/6/2012,COL,90
172,Drew Moor,5/2/2012,COL,90
173,Drew Moor,4/28/2012,COL,90
174,Drew Moor,4/21/2012,COL,90
175,Drew Moor,4/14/2012,COL,90
176,Drew Moor,4/7/2012,COL,90
177,Drew Moor,4/1/2012,COL,90
178,Drew Moor,3/25/2012,COL,90
179,Drew Moor,3/18/2012,COL,90
180,Drew Moor,3/10/2012,COL,90
181,Drew Moor,10/14/2011,COL,90
182,Drew Moor,10/1/2011,COL,90
183,Drew Moor,9/24/2011,COL,90
184,Drew Moor,9/17/2011,COL,90
185,Drew Moor,8/27/2011,COL,90
186,Drew Moor,8/20/2011,COL,90
187,Drew Moor,8/13/2011,COL,90
188,Drew Moor,8/5/2011,COL,90
189,Drew Moor,7/29/2011,COL,90
190,Drew Moor,7/23/2011,COL,90
191,Drew Moor,7/20/2011,COL,90
192,Drew Moor,7/16/2011,COL,90
193,Drew Moor,7/9/2011,COL,90
194,Drew Moor,7/6/2011,COL,90
195,Drew Moor,7/3/2011,COL,90
196,Drew Moor,6/26/2011,COL,90
197,Drew Moor,6/18/2011,COL,90
198,Drew Moor,6/11/2011,COL,90
199,Drew Moor,6/4/2011,COL,90
200,Drew Moor,5/28/2011,COL,90
201,Drew Moor,5/25/2011,COL,90
202,Drew Moor,5/22/2011,COL,90
203,Drew Moor,5/14/2011,COL,90
204,Drew Moor,5/7/2011,COL,90
205,Drew Moor,5/4/2011,COL,90
206,Drew Moor,4/30/2011,COL,90
207,Drew Moor,4/22/2011,COL,90
208,Drew Moor,4/13/2011,COL,90
209,Drew Moor,4/8/2011,COL,90
210,Drew Moor,4/3/2011,COL,90
