,Name,Date,Club,Minutes
0,Chris Korb,10/25/2014,NULL,90
1,Chris Korb,10/18/2014,NULL,21
2,Chris Korb,10/12/2014,NULL,29
3,Chris Korb,10/3/2014,NULL,90
4,Chris Korb,9/27/2014,NULL,61
5,Chris Korb,9/20/2014,NULL,45
6,Chris Korb,8/9/2014,NULL,90
7,Chris Korb,7/30/2014,NULL,90
8,Chris Korb,7/20/2014,NULL,90
9,Chris Korb,7/11/2014,NULL,90
10,Chris Korb,7/5/2014,NULL,90
11,Chris Korb,6/28/2014,NULL,90
12,Chris Korb,5/31/2014,NULL,34
13,Chris Korb,5/24/2014,NULL,90
14,Chris Korb,5/21/2014,NULL,90
15,Chris Korb,5/17/2014,NULL,90
16,Chris Korb,5/10/2014,NULL,90
17,Chris Korb,5/3/2014,NULL,90
18,Chris Korb,4/26/2014,NULL,16
19,Chris Korb,10/27/2013,NULL,90
20,Chris Korb,10/18/2013,NULL,90
21,Chris Korb,10/12/2013,NULL,90
22,Chris Korb,9/21/2013,NULL,90
23,Chris Korb,9/14/2013,NULL,90
24,Chris Korb,9/8/2013,NULL,90
25,Chris Korb,8/31/2013,NULL,90
26,Chris Korb,8/24/2013,NULL,90
27,Chris Korb,8/17/2013,NULL,90
28,Chris Korb,8/10/2013,NULL,90
29,Chris Korb,8/3/2013,NULL,90
30,Chris Korb,7/20/2013,NULL,90
31,Chris Korb,7/3/2013,NULL,90
32,Chris Korb,6/29/2013,NULL,90
33,Chris Korb,6/22/2013,NULL,90
34,Chris Korb,6/15/2013,NULL,90
35,Chris Korb,6/8/2013,NULL,90
36,Chris Korb,6/2/2013,NULL,90
37,Chris Korb,5/25/2013,NULL,90
38,Chris Korb,5/19/2013,NULL,90
39,Chris Korb,5/11/2013,NULL,90
40,Chris Korb,5/8/2013,NULL,90
41,Chris Korb,4/27/2013,NULL,90
42,Chris Korb,4/21/2013,NULL,90
43,Chris Korb,4/13/2013,NULL,90
44,Chris Korb,4/5/2013,NULL,90
45,Chris Korb,3/23/2013,NULL,90
46,Chris Korb,3/16/2013,NULL,90
47,Chris Korb,3/9/2013,NULL,90
48,Chris Korb,3/2/2013,NULL,90
49,Chris Korb,10/27/2012,NULL,90
50,Chris Korb,10/20/2012,NULL,90
51,Chris Korb,10/6/2012,NULL,90
52,Chris Korb,9/29/2012,NULL,90
53,Chris Korb,9/23/2012,NULL,90
54,Chris Korb,9/20/2012,NULL,90
55,Chris Korb,9/15/2012,NULL,90
56,Chris Korb,9/1/2012,NULL,90
57,Chris Korb,8/29/2012,NULL,90
58,Chris Korb,8/25/2012,NULL,51
59,Chris Korb,8/22/2012,NULL,90
60,Chris Korb,8/19/2012,NULL,90
61,Chris Korb,8/11/2012,NULL,90
62,Chris Korb,8/4/2012,NULL,90
63,Chris Korb,7/21/2012,NULL,90
64,Chris Korb,7/15/2012,NULL,50
65,Chris Korb,5/26/2012,NULL,90
66,Chris Korb,5/19/2012,NULL,90
67,Chris Korb,5/16/2012,NULL,90
68,Chris Korb,5/12/2012,NULL,90
69,Chris Korb,5/5/2012,NULL,90
70,Chris Korb,5/2/2012,NULL,14
71,Chris Korb,4/18/2012,NULL,90
72,Chris Korb,4/14/2012,NULL,30
73,Chris Korb,4/7/2012,NULL,16
74,Chris Korb,3/18/2012,NULL,90
75,Chris Korb,10/22/2011,NULL,90
76,Chris Korb,10/19/2011,NULL,90
77,Chris Korb,10/15/2011,NULL,90
78,Chris Korb,10/12/2011,NULL,90
79,Chris Korb,10/2/2011,NULL,90
80,Chris Korb,6/11/2011,NULL,68
81,Chris Korb,6/3/2011,NULL,90
82,Chris Korb,4/21/2011,NULL,70
83,Chris Korb,4/16/2011,NULL,90
84,Chris Korb,4/9/2011,NULL,72
85,Chris Korb,4/3/2011,NULL,90
86,Chris Korb,3/26/2011,NULL,90
87,Mamadou Danso,9/13/2014,NULL,90
88,Mamadou Danso,8/2/2014,NULL,51
89,Mamadou Danso,7/27/2014,NULL,90
90,Mamadou Danso,5/28/2014,NULL,90
91,Mamadou Danso,5/17/2014,NULL,90
92,Mamadou Danso,5/11/2014,NULL,90
93,Mamadou Danso,5/3/2014,NULL,90
94,Mamadou Danso,4/27/2014,NULL,90
95,Mamadou Danso,4/19/2014,NULL,90
96,Mamadou Danso,4/12/2014,NULL,90
97,Mamadou Danso,3/22/2014,NULL,90
98,Mamadou Danso,3/16/2014,NULL,90
99,Mamadou Danso,3/8/2014,NULL,56
100,Mamadou Danso,10/26/2013,NULL,90
101,Mamadou Danso,10/19/2013,NULL,90
102,Mamadou Danso,10/13/2013,NULL,90
103,Mamadou Danso,10/6/2013,NULL,90
104,Mamadou Danso,9/29/2013,NULL,90
105,Mamadou Danso,9/20/2013,NULL,90
106,Mamadou Danso,7/13/2013,NULL,90
107,Mamadou Danso,7/7/2013,NULL,77
108,Mamadou Danso,6/15/2013,NULL,51
109,Mamadou Danso,5/18/2013,NULL,81
