,Player,Year,Club,Position,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
0,Roy Lassiter,1996,TB,F,30,30,2580,27,4,76,49,4,3/3,19,8,0.94,35.5
1,Raul Diaz Arce,1996,DC,F,28,28,2351,23,2,100,49,4,4/4,15,8,0.88,23.0
2,Eduardo Hurtado,1996,LA,F,26,26,2323,21,7,87,56,6,2/3,13,8,0.81,24.1
3,Preki,1996,KC,M,32,32,2880,18,13,140,61,3,7/8,14,4,0.56,12.9
4,Brian McBride,1996,CLB,F,28,28,2307,17,3,79,44,3,3/4,12,5,0.66,21.5
5,Steve Rammel,1996,DC,F,26,20,1649,14,3,54,32,6,0/0,11,3,0.76,25.9
6,Vitalis Takawira,1996,KC,F,28,25,2233,13,7,70,48,3,0/0,10,3,0.52,18.6
7,Jason Kreis,1996,DAL,M,31,29,2564,13,5,90,41,3,0/0,7,6,0.46,14.4
8,Paul Bravo,1996,SJ,M,31,31,2654,13,5,58,29,4,1/1,3,10,0.44,22.4
9,Giovanni Savarese,1996,MET,F,26,15,1576,13,1,49,32,3,1/1,8,5,0.74,26.5
10,Pete Marino,1996,CLB,F,29,18,1700,11,4,52,36,1,0/0,4,7,0.58,21.2
11,Jean Harbor,1996,COL,F,29,27,2111,11,4,61,33,0,3/3,7,4,0.47,18.0
12,Joe-Max Moore,1996,NE,F,14,14,1238,11,1,36,19,4,3/3,8,3,0.8,30.6
13,Eric Wynalda,1996,SJ,F,27,26,2326,10,13,68,38,3,2/2,6,4,0.39,14.7
14,Missael Espinoza,1996,SJ,F,26,26,2310,10,5,54,30,3,0/0,7,3,0.39,18.5
15,Mark Chung,1996,KC,M,32,32,2847,8,9,81,40,2,0/0,4,4,0.25,9.9
16,Shaun Bartlett,1996,COL,F,26,26,2252,8,7,88,39,3,0/0,5,3,0.32,9.1
17,Giuseppe Galderisi,1996,TB,F,25,22,1961,7,8,57,25,1,0/0,4,3,0.32,12.3
18,Cobi Jones,1996,LA,M,28,27,2375,7,4,48,24,0,0/0,1,6,0.27,14.6
19,Marcelo Balboa,1996,COL,D,18,16,1525,7,2,28,14,1,0/0,4,3,0.41,25.0
20,Steve Ralston,1996,TB,M,31,31,2762,7,2,24,12,5,0/0,5,2,0.23,29.2
21,Adrian Paz,1996,CLB,M,27,19,1802,6,10,48,25,1,1/1,4,2,0.3,12.5
22,Alberto Naveda,1996,NE,F,25,20,1734,6,7,65,35,1,0/0,4,2,0.31,9.2
23,Harut Karapetyan,1996,LA,F,28,23,1860,6,6,62,30,1,0/0,4,2,0.29,9.7
24,Hugo Sanchez,1996,DAL,F,23,21,1708,6,3,40,23,1,1/1,5,1,0.32,15.0
25,Mo Johnston,1996,KC,M-F,29,29,2573,6,3,54,28,1,0/0,4,2,0.21,11.1
26,Antony De Avila,1996,MET,F,8,7,650,6,2,20,13,1,0/0,5,1,0.83,30.0
27,Mauricio Cienfuegos,1996,LA,M,28,27,2405,5,11,47,26,2,2/3,4,1,0.19,10.6
28,Gerell Elliott,1996,DAL,F,20,16,1523,5,7,43,24,1,0/0,4,1,0.3,11.6
