,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
0,DC,Addlery,Nicholas,F,"$           36,000.00","$                 36,000.00",2007
1,LA,Albright,Chris,M-D,"$         142,500.00","$               142,500.00",2007
2,NY,Altidore,Josmer,F,"$           85,000.00","$               108,333.00",2007
3,DAL,Alvarez,Arturo,M,"$           32,819.00","$                 46,019.00",2007
4,NY,Angel,Juan Pablo,F,"$      1,500,000.00","$            1,593,750.00",2007
5,DC,Arguez,Bryan,M-D,"$           45,000.00","$                 76,200.00",2007
6,CHI,Armas,Chris,M,"$         225,000.00","$               225,000.00",2007
7,KC,Arnaud,Davy,M,"$         100,000.00","$               101,875.00",2007
8,CHV,Arvizu,David,F,"$           33,000.00","$                 40,500.00",2007
9,HOU,Ashe,Corey,M,"$           30,000.00","$                 30,000.00",2007
10,TFC,Attakora-Gyan,Nana,D,"$           12,900.00","$                 12,900.00",2007
11,COL,Ballouchy,Mehdi,M,"$           70,000.00","$                 88,000.00",2007
12,CHI,Banner,Michael,M,"$           12,900.00","$                 12,900.00",2007
13,CHI,Barrett,Chad,F,"$           41,212.50","$                 48,712.50",2007
14,HOU,Barrett,Wade,D,"$         141,750.00","$               141,750.00",2007
15,RSL,Beckerman,Kyle,M,"$         120,000.00","$               122,500.00",2007
16,LA,Beckham,David,M,"$      5,500,000.08","$            6,500,000.04",2007
17,RSL,Besagno,Nikolas,M,"$           75,000.00","$               111,500.00",2007
18,CHI,Blanco,Cuauhtemoc,F,"$      2,492,316.00","$            2,666,778.00",2007
19,CHV,Bornstein,Jonathan,D,"$           57,500.00","$                 57,500.00",2007
20,DC,Boswell,Robert,D,"$           30,870.00","$                 30,870.00",2007
21,DAL,Botero,Juan Sebastian,M,"$           12,900.00","$                 12,900.00",2007
22,TFC,Boyens,Andrew,D,"$           30,000.00","$                 47,500.00",2007
23,TFC,Braz,Adam,D,"$           67,200.00","$                 74,950.00",2007
24,TFC,Brennan,Jim,D,"$         150,000.00","$               158,000.00",2007
25,CHV,Brooks,Desmond,D,"$           12,900.00","$                 12,900.00",2007
26,CHI,Brown,C.J.,D,"$         106,391.00","$               106,391.00",2007
27,RSL,Brown,Kyle,F,"$           17,700.00","$                 17,700.00",2007
28,RSL,Brown,Chris,M-F,"$           70,000.00","$                 70,000.00",2007
29,LA,Buddle,Edson,F,"$         140,000.00","$               150,000.00",2007
30,DC,Burch,Marc,D,"$           30,000.00","$                 30,000.00",2007
31,KC,Burciaga,Jose,D,"$         100,000.00","$               102,500.00",2007
32,CHV,Burling,Bobby,F-D,"$           12,900.00","$                 12,900.00",2007
33,CHV,Burpo,Preston,GK,"$           52,491.60","$                 52,491.60",2007
34,DAL,Burse,Ray,GK,"$           17,700.00","$                 17,700.00",2007
35,CHI,Busch,Jon,GK,"$           58,008.00","$                 58,008.00",2007
36,NE,Byrne,Bryan,M,"$           30,000.00","$                 30,000.00",2007
37,NY,Caccavale,Salvatore,M,"$           12,900.00","$                 12,900.00",2007
38,NY,Camp,Blake,M,"$           12,900.00","$                 12,900.00",2007
39,COL,Cancela,Jose,M,"$         156,000.00","$               156,000.00",2007
40,TFC,Canizalez,Maycoll,M,"$           36,000.00","$                 40,000.00",2007
41,LA,Cannon,Joe,GK,"$         192,000.00","$               192,000.00",2007
42,CHI,Carr,Calen,F,"$           38,000.00","$                 50,500.00",2007
43,DC,Carreiro da Silva,Fred,M-F,"$         190,008.00","$               222,008.00",2007
44,DC,Carroll,Brian,M,"$         115,000.00","$               118,750.00",2007
45,DC,Carroll,Jeff,M-D,"$           12,900.00","$                 12,900.00",2007
46,COL,Casey,Conor,F,"$         180,000.00","$               180,000.00",2007
47,LA,Caso,Mike,M,"$           12,900.00","$                 12,900.00",2007
48,NY,Cepero,Danny,GK,"$           12,900.00","$                 12,900.00",2007
49,HOU,Chabala,Mike,M,"$           17,700.00","$                 17,700.00",2007
50,HOU,Ching,Brian,F,"$         220,000.00","$               220,000.00",2007
51,COL,Clark,Colin,F,"$           17,700.00","$                 17,700.00",2007
52,HOU,Clark,Ricardo,M,"$         195,000.00","$               195,000.00",2007
53,HOU,Cochrane,Ryan,D,"$           51,149.00","$                 66,149.00",2007
54,COL,Colaluca,Nico,M,"$           45,000.00","$                 78,000.00",2007
55,KC,Colombano,Eloy,F-M,"$           42,000.00","$                 42,000.00",2007
56,CHI,Conde,Wilman,D,"$         144,000.00","$               151,500.00",2007
57,KC,Conrad,Jimmy,D,"$         194,750.00","$               206,000.00",2007
58,NY,Conway,Jon,GK,"$           65,000.00","$                 65,750.00",2007
59,COL,Cooke,Terry,M,"$         147,500.00","$               152,500.00",2007
60,DAL,Cooper,Kenny,F,"$           80,000.00","$                 83,000.00",2007
61,CHI,Correa,Thiago,M,"$           44,100.00","$                 44,100.00",2007
62,COL,Coundoul,Bouna,GK,"$           30,000.00","$                 30,000.00",2007
63,NE,Cristman,Adam,F,"$           17,700.00","$                 17,700.00",2007
64,LA,Cronin,Steve,GK,"$           34,728.75","$                 42,228.75",2007
65,DC,Crowe,Shawn,GK,"$           12,900.00","$                 12,900.00",2007
66,COL,Cummings,Omar,F,"$           30,000.00","$                 30,000.00",2007
67,CHV,Cunliffe,John,F,"$           30,000.00","$                 45,000.00",2007
68,TFC,Cunningham,Jeffrey,F,"$         220,000.00","$               232,500.00",2007
69,RSL,Curfman,Steven,M,"$           12,900.00","$                 12,900.00",2007
70,CHI,Curtin,Jeff,D,"$           12,900.00","$                 12,900.00",2007
71,CHI,Curtin,Jim,D,"$         120,750.00","$               120,750.00",2007
72,RSL,Cutler,Kenny,M,"$           30,000.00","$                 30,000.00",2007
73,HOU,Dalglish,Paul,F,"$           96,000.00","$               101,000.00",2007
74,DAL,Daniels,Andrew,D,"$           12,900.00","$                 12,900.00",2007
75,HOU,Davis,Brad,M,"$         120,000.00","$               120,000.00",2007
76,DAL,De Oliveira,Denilson,M,"$         872,736.00","$               879,936.00",2007
77,DAL,Dello-Russo,Michael,D,"$           12,900.00","$                 12,900.00",2007
78,HOU,DeRosario,Dwayne,M,"$         324,999.96","$               324,999.96",2007
79,DC,DeRoux,Stephen,M,"$           12,900.00","$                 12,900.00",2007
80,TFC,Dichio,Daniel,F,"$         150,000.00","$               158,125.00",2007
81,COL,DiRaimondo,John,M,"$           12,900.00","$                 12,900.00",2007
82,TFC,Djekanovic,Srdjan,GK,"$           17,700.00","$                 17,700.00",2007
83,NY,Doe,Francis,F,"$           48,000.00","$                 48,000.00",2007
84,LA,Donovan,Landon,F,"$         900,000.00","$               900,000.00",2007
85,NE,Dorman,Andy,M,"$           30,870.00","$                 30,870.00",2007
86,TFC,Dunivant,Todd,D,"$           99,750.00","$                 99,750.00",2007
87,DC,Dyachenko,Rod,M,"$           17,700.00","$                 17,700.00",2007
88,HOU,Ebert,Eric,M,"$           12,900.00","$                 12,900.00",2007
89,TFC,Edu,Maurice,M,"$           50,000.00","$               132,500.00",2007
90,KC,Elcock,Edson,M-F,"$           17,700.00","$                 17,700.00",2007
91,DC,Emilio,Luciano,F,"$         265,000.00","$               293,125.00",2007
92,COL,Erpen,Facundo,D,"$         115,000.00","$               115,000.00",2007
93,RSL,Eskandarian,Alecko,F,"$         155,000.00","$               175,500.00",2007
94,RSL,Espindola,Edgar,F,"$           72,000.00","$                 72,000.00",2007
95,CLB,Evans,Brad,F,"$           17,700.00","$                 17,700.00",2007
96,RSL,Findley,Robert,F,"$           36,000.00","$                 48,500.00",2007
97,NE,Flood,Gary,D,"$           12,900.00","$                 12,900.00",2007
98,CHV,Flores,Jorge,M,"$           12,900.00","$                 13,275.00",2007
99,RSL,Forko,Willis,D,"$           30,000.00","$                 30,000.00",2007
100,NE,Franchino,Joey,D,"$           90,000.00","$                 90,000.00",2007
101,CHI,Franks,Floyd,M,"$           17,700.00","$                 17,700.00",2007
102,NY,Freeman,Hunter,D-M,"$           50,600.00","$                 60,600.00",2007
103,LA,Friesz,Lance,GK,"$           12,900.00","$                 12,900.00",2007
